seed,epoch,loss,test_acc,epoch_time
42,1,1.620075,0.914800,5.442
42,2,1.541636,0.927600,5.938
42,3,1.530105,0.932000,5.820
42,4,1.522273,0.938900,5.624
42,5,1.517165,0.933700,5.524
42,6,1.514989,0.942000,5.387
42,7,1.510134,0.946500,5.885
42,8,1.507532,0.942100,6.060
42,9,1.506233,0.949100,5.753
42,10,1.504572,0.949300,5.583
42,11,1.503826,0.947700,5.430
42,12,1.501984,0.952200,5.753
42,13,1.501050,0.950800,5.770
42,14,1.500689,0.951400,5.871
42,15,1.498545,0.951700,5.910
42,16,1.497050,0.955000,5.582
42,17,1.496878,0.953600,5.562
42,18,1.496271,0.955000,5.893
42,19,1.494770,0.956300,5.947
42,20,1.492944,0.958900,5.522
42,21,1.493295,0.952000,5.596
42,22,1.494614,0.958500,5.424
42,23,1.493767,0.957900,5.837
42,24,1.493854,0.959900,5.850
42,25,1.492696,0.958500,5.738
123,1,1.595356,0.923100,5.509
123,2,1.530911,0.936900,5.432
123,3,1.521341,0.936300,5.891
123,4,1.515819,0.938100,6.098
123,5,1.511729,0.947300,5.767
123,6,1.507938,0.947700,5.400
123,7,1.504028,0.952200,5.298
123,8,1.502259,0.953000,5.685
123,9,1.501117,0.952700,5.934
123,10,1.498937,0.953100,6.097
123,11,1.496897,0.957600,5.553
123,12,1.495744,0.956600,5.509
123,13,1.494878,0.957900,5.631
123,14,1.494474,0.958000,5.890
123,15,1.492943,0.961100,6.100
123,16,1.492570,0.959900,5.641
123,17,1.492090,0.961500,5.471
123,18,1.491194,0.961900,5.444
123,19,1.491406,0.964100,5.756
123,20,1.488832,0.963800,5.975
123,21,1.489800,0.961900,5.849
123,22,1.489232,0.963400,5.454
123,23,1.488107,0.963900,5.411
123,24,1.487689,0.960900,5.808
123,25,1.487557,0.965900,5.829
7,1,1.618974,0.916300,5.934
7,2,1.536174,0.927900,5.530
7,3,1.527557,0.931900,5.410
7,4,1.521338,0.941200,5.673
7,5,1.514100,0.940700,5.946
7,6,1.511495,0.946200,5.923
7,7,1.509439,0.947300,5.538
7,8,1.506899,0.947100,5.515
7,9,1.503877,0.953000,5.501
7,10,1.501705,0.950700,5.905
7,11,1.500752,0.954100,5.979
7,12,1.498500,0.953300,5.665
7,13,1.498266,0.953300,5.389
7,14,1.496575,0.953400,5.484
7,15,1.496760,0.954800,6.046
7,16,1.496608,0.956100,5.892
7,17,1.496376,0.956200,5.719
7,18,1.494540,0.957500,5.602
7,19,1.493489,0.958400,5.308
7,20,1.491613,0.957500,5.810
7,21,1.490648,0.955300,5.873
7,22,1.492834,0.961300,5.958
7,23,1.490129,0.959600,5.500
7,24,1.489549,0.960100,5.441
7,25,1.491584,0.959700,5.706
