seed,epoch,loss,test_acc,epoch_time
42,1,1.582042,0.939800,20.926
42,2,1.517515,0.952800,20.778
42,3,1.503381,0.953600,20.597
42,4,1.496576,0.955900,20.714
42,5,1.492186,0.962700,20.755
42,6,1.488645,0.966200,21.049
42,7,1.486677,0.966800,21.003
42,8,1.485251,0.967000,20.608
42,9,1.483124,0.968400,20.708
42,10,1.481813,0.967800,20.772
42,11,1.481187,0.970200,20.602
42,12,1.479705,0.967300,20.594
42,13,1.479216,0.970300,20.534
42,14,1.478682,0.971200,20.728
42,15,1.477483,0.971800,20.408
42,16,1.477990,0.970700,20.960
42,17,1.477149,0.971000,20.741
42,18,1.475953,0.971900,20.866
42,19,1.475472,0.972300,20.800
42,20,1.474957,0.972800,20.992
42,21,1.475162,0.972200,21.060
42,22,1.474575,0.973400,21.050
42,23,1.474186,0.973000,20.392
42,24,1.473899,0.973900,21.051
42,25,1.473194,0.973300,20.762
123,1,1.582379,0.937000,20.678
123,2,1.518256,0.946600,20.786
123,3,1.505023,0.955800,20.680
123,4,1.497462,0.960100,20.849
123,5,1.493246,0.962700,21.299
123,6,1.489561,0.964300,21.213
123,7,1.487770,0.963600,20.655
123,8,1.485402,0.965000,21.296
123,9,1.484034,0.967300,21.135
123,10,1.481942,0.969600,21.121
123,11,1.481379,0.969000,21.973
123,12,1.480725,0.969400,20.736
123,13,1.479319,0.968700,20.998
123,14,1.479324,0.970100,20.911
123,15,1.477984,0.968300,20.808
123,16,1.477138,0.970400,20.508
123,17,1.477335,0.971400,21.327
123,18,1.476498,0.972100,21.234
123,19,1.475456,0.971700,20.700
123,20,1.475360,0.971600,20.809
123,21,1.475090,0.972500,22.596
123,22,1.474755,0.972400,20.561
123,23,1.473901,0.971400,21.281
123,24,1.473977,0.972000,20.866
123,25,1.473514,0.972900,20.997
7,1,1.579200,0.934400,20.957
7,2,1.516640,0.951300,20.529
7,3,1.504169,0.955100,20.639
7,4,1.497065,0.958100,21.237
7,5,1.493444,0.961500,20.704
7,6,1.488934,0.961800,20.731
7,7,1.487405,0.964900,20.545
7,8,1.484682,0.968600,20.807
7,9,1.483243,0.968100,20.462
7,10,1.482587,0.967400,20.719
7,11,1.480952,0.968600,20.910
7,12,1.479675,0.970000,20.618
7,13,1.479083,0.971800,20.705
7,14,1.478344,0.971500,20.831
7,15,1.477677,0.971900,20.747
7,16,1.476841,0.969800,20.604
7,17,1.476816,0.970700,20.698
7,18,1.476177,0.972200,20.613
7,19,1.475671,0.970900,21.137
7,20,1.475374,0.972100,20.780
7,21,1.474652,0.972800,20.521
7,22,1.474345,0.972800,20.730
7,23,1.474663,0.974700,20.551
7,24,1.474218,0.973100,20.524
7,25,1.473726,0.974000,20.544
