seed,epoch,loss,test_acc,epoch_time
42,1,1.582042,0.939800,20.806
42,2,1.517515,0.952800,20.832
42,3,1.503381,0.953600,20.666
42,4,1.496576,0.955900,20.857
42,5,1.492186,0.962700,20.852
42,6,1.488645,0.966200,20.996
42,7,1.486677,0.966800,20.795
42,8,1.485251,0.967000,20.488
42,9,1.483124,0.968400,20.586
42,10,1.481813,0.967800,20.930
42,11,1.481187,0.970200,20.500
42,12,1.479705,0.967300,20.678
42,13,1.479216,0.970300,21.207
42,14,1.478682,0.971200,20.881
42,15,1.477483,0.971800,20.930
42,16,1.477990,0.970700,20.759
42,17,1.477149,0.971000,20.859
42,18,1.475953,0.971900,20.669
42,19,1.475472,0.972300,20.606
42,20,1.474957,0.972800,21.177
42,21,1.475162,0.972200,20.877
42,22,1.474575,0.973400,20.557
42,23,1.474186,0.973000,21.020
42,24,1.473899,0.973900,20.629
42,25,1.473194,0.973300,20.851
123,1,1.582379,0.937000,20.638
123,2,1.518256,0.946600,20.932
123,3,1.505023,0.955800,20.503
123,4,1.497462,0.960100,20.912
123,5,1.493246,0.962700,20.716
123,6,1.489561,0.964300,20.856
123,7,1.487770,0.963600,20.521
123,8,1.485402,0.965000,20.866
123,9,1.484034,0.967300,20.827
123,10,1.481942,0.969600,20.917
123,11,1.481379,0.969000,20.670
123,12,1.480725,0.969400,20.651
123,13,1.479319,0.968700,20.460
123,14,1.479324,0.970100,20.855
123,15,1.477984,0.968300,21.119
123,16,1.477138,0.970400,20.805
123,17,1.477335,0.971400,20.976
123,18,1.476498,0.972100,20.507
123,19,1.475456,0.971700,20.917
123,20,1.475360,0.971600,20.516
123,21,1.475090,0.972500,20.288
123,22,1.474755,0.972400,20.429
123,23,1.473901,0.971400,20.552
123,24,1.473977,0.972000,21.040
123,25,1.473514,0.972900,20.590
7,1,1.579200,0.934400,20.102
7,2,1.516640,0.951300,20.613
7,3,1.504169,0.955100,20.388
7,4,1.497065,0.958100,20.402
7,5,1.493444,0.961500,20.860
7,6,1.488934,0.961800,20.349
7,7,1.487405,0.964900,20.709
7,8,1.484682,0.968600,20.476
7,9,1.483243,0.968100,20.930
7,10,1.482587,0.967400,20.221
7,11,1.480952,0.968600,20.617
7,12,1.479675,0.970000,20.364
7,13,1.479083,0.971800,20.632
7,14,1.478344,0.971500,20.714
7,15,1.477677,0.971900,20.557
7,16,1.476841,0.969800,20.750
7,17,1.476816,0.970700,20.954
7,18,1.476177,0.972200,20.652
7,19,1.475671,0.970900,20.218
7,20,1.475374,0.972100,20.412
7,21,1.474652,0.972800,20.674
7,22,1.474345,0.972800,20.186
7,23,1.474663,0.974700,20.629
7,24,1.474218,0.973100,20.612
7,25,1.473726,0.974000,20.828
